Year,Inflasi
Jun 2020,0.18
Jul 2020,-0.1
Aug 2020,-0.05
Sep 2020,-0.05
Oct 2020,0.07
Nov 2020,0.28
Dec 2020,0.45
Jan 2021,0.26
Feb 2021,0.1
Mar 2021,0.08
Apr 2021,0.13
May 2021,0.32
Jun 2021,-0.16
Jul 2021,0.08
Aug 2021,0.03
Sep 2021,-0.04
Oct 2021,0.12
Nov 2021,0.37
Dec 2021,0.57
Jan 2022,0.56
Feb 2022,-0.02
Mar 2022,0.66
Apr 2022,0.95
May 2022,0.4
Jun 2022,0.61
Jul 2022,0.64
Aug 2022,-0.21
Sep 2022,1.17
Oct 2022,-0.11
Nov 2022,0.09
Dec 2022,0.66
Jan 2023,0.34
Feb 2023,0.16
Mar 2023,0.18
Apr 2023,0.33
May 2023,0.09
Jun 2023,0.14
Jul 2023,0.21
Aug 2023,-0.02
Sep 2023,0.19
Oct 2023,0.17
Nov 2023,0.38
Dec 2023,0.41
Jan 2024,0.2
Feb 2024,0.37
Mar 2024,0.52
Apr 2024,0.25
May 2024,-0.03
Jun 2024,-0.08
Jul 2024,-0.18
Aug 2024,-0.03
Sep 2024,-0.12
Oct 2024,0.08
Nov 2024,0.3
Dec 2024,0.44
